"RegionID","SizeRank","RegionName","RegionType","StateName","Date","MedianDaystoPending"
394798,76,"Little Rock, AR","Msa","AR","3/31/2018",40
395134,77,"Stockton, CA","Msa","CA","3/31/2018",12
394457,78,"Charleston, SC","Msa","SC","3/31/2018",18
395143,79,"Syracuse, NY","Msa","NY","3/31/2018",47
394484,80,"Colorado Springs, CO","Msa","CO","3/31/2018",6
395235,81,"Winston-Salem, NC","Msa","NC","3/31/2018",36
395224,82,"Wichita, KS","Msa","KS","3/31/2018",19
395115,83,"Springfield, MA","Msa","MA","3/31/2018",18
394440,84,"Fort Myers, FL","Msa","FL","3/31/2018",41
394399,85,"Boise City, ID","Msa","ID","3/31/2018",8
395160,86,"Toledo, OH","Msa","OH","3/31/2018",21
394816,87,"Madison, WI","Msa","WI","3/31/2018",23
394766,88,"Lakeland, FL","Msa","FL","3/31/2018",20
394931,89,"Ogden, UT","Msa","UT","3/31/2018",8
394528,90,"Daytona Beach, FL","Msa","FL","3/31/2018",30
394531,91,"Des Moines, IA","Msa","IA","3/31/2018",14
394711,92,"Jackson, MS","Msa","MS","3/31/2018",38
394352,94,"Augusta, GA","Msa","GA","3/31/2018",22
394666,96,"Harrisburg, PA","Msa","PA","3/31/2018",14
395006,100,"Provo, UT","Msa","UT","3/31/2018",12
394602,159,"Fort Collins, CO","Msa","CO","3/31/2018",8
394913,1,"New York, NY","Msa","NY","4/30/2018",38
753899,2,"Los Angeles-Long Beach-Anaheim, CA","Msa","CA","4/30/2018",14
394463,3,"Chicago, IL","Msa","IL","4/30/2018",14
394514,4,"Dallas-Fort Worth, TX","Msa","TX","4/30/2018",19
394974,5,"Philadelphia, PA","Msa","PA","4/30/2018",24
394692,6,"Houston, TX","Msa","TX","4/30/2018",16
395209,7,"Washington, DC","Msa","DC","4/30/2018",19
394856,8,"Miami-Fort Lauderdale, FL","Msa","FL","4/30/2018",38
394347,9,"Atlanta, GA","Msa","GA","4/30/2018",10
394404,10,"Boston, MA","Msa","MA","4/30/2018",7
395057,11,"San Francisco, CA","Msa","CA","4/30/2018",12
394532,12,"Detroit, MI","Msa","MI","4/30/2018",7
395025,13,"Riverside, CA","Msa","CA","4/30/2018",17
394976,14,"Phoenix, AZ","Msa","AZ","4/30/2018",24
395078,15,"Seattle, WA","Msa","WA","4/30/2018",7
394865,16,"Minneapolis-St Paul, MN","Msa","MN","4/30/2018",17
395056,17,"San Diego, CA","Msa","CA","4/30/2018",12
395121,18,"St. Louis, MO","Msa","MO","4/30/2018",17
395148,19,"Tampa, FL","Msa","FL","4/30/2018",18
394358,20,"Baltimore, MD","Msa","MD","4/30/2018",22
394530,21,"Denver, CO","Msa","CO","4/30/2018",5
394982,22,"Pittsburgh, PA","Msa","PA","4/30/2018",20
394998,23,"Portland, OR","Msa","OR","4/30/2018",7
394458,24,"Charlotte, NC","Msa","NC","4/30/2018",11
395045,25,"Sacramento, CA","Msa","CA","4/30/2018",9
395055,26,"San Antonio, TX","Msa","TX","4/30/2018",27
394943,27,"Orlando, FL","Msa","FL","4/30/2018",14
394466,28,"Cincinnati, OH","Msa","OH","4/30/2018",9
394475,29,"Cleveland, OH","Msa","OH","4/30/2018",32
