RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
394358,20,"Baltimore, MD",Msa,MD,74.0,76.0,72.0,62.0,55.0,50.0,50.0,49.0,51.0,56.0,59.0,67.0,70.0,71.0,64.0,54.0,46.0,44.0,45.0,50.0,53.0,54.0,56.0,59.0,65.0,65.0,59.0,49.0,44.0,42.0,41.0,39.0,37.0,31.0,28.0,28.0,29.0,28.0,22.0,18.0,14.0,13.0,13.0
394530,21,"Denver, CO",Msa,CO,39.0,35.0,28.0,22.0,20.0,19.0,20.0,24.0,28.0,31.0,35.0,41.0,44.0,43.0,37.0,30.0,27.0,26.0,28.0,32.0,35.0,37.0,39.0,44.0,45.0,42.0,32.0,25.0,23.0,25.0,25.0,24.0,24.0,23.0,23.0,25.0,"","","","","","",""
394982,22,"Pittsburgh, PA",Msa,PA,98.0,101.0,98.0,86.0,75.0,64.0,58.0,54.0,56.0,61.0,64.0,70.0,75.0,82.0,81.0,73.0,63.0,58.0,55.0,54.0,54.0,57.0,61.0,69.0,73.0,75.0,70.0,68.0,63.0,59.0,50.0,44.0,42.0,41.0,42.0,45.0,47.0,44.0,34.0,25.0,19.0,16.0,17.0
394998,23,"Portland, OR",Msa,OR,54.0,52.0,45.0,35.0,28.0,26.0,29.0,32.0,38.0,43.0,49.0,55.0,58.0,58.0,51.0,43.0,36.0,33.0,33.0,35.0,39.0,44.0,47.0,56.0,59.0,56.0,44.0,33.0,30.0,30.0,31.0,30.0,28.0,27.0,27.0,30.0,"","","","","","",""
394458,24,"Charlotte, NC",Msa,NC,51.0,49.0,41.0,35.0,32.0,32.0,33.0,35.0,38.0,39.0,41.0,45.0,49.0,49.0,45.0,40.0,36.0,35.0,35.0,37.0,39.0,41.0,42.0,45.0,48.0,47.0,41.0,33.0,32.0,32.0,32.0,28.0,25.0,23.0,23.0,23.0,"","","","","","",""
395045,25,"Sacramento, CA",Msa,CA,43.0,40.0,34.0,28.0,25.0,24.0,26.0,30.0,34.0,38.0,41.0,46.0,51.0,50.0,44.0,35.0,30.0,28.0,29.0,32.0,35.0,37.0,40.0,44.0,46.0,42.0,34.0,27.0,26.0,28.0,30.0,28.0,24.0,21.0,20.0,21.0,25.0,24.0,20.0,14.0,12.0,31.0,32.0
395055,26,"San Antonio, TX",Msa,TX,75.0,76.0,73.0,67.0,62.0,58.0,57.0,56.0,57.0,60.0,65.0,69.0,74.0,75.0,73.0,66.0,62.0,60.0,60.0,61.0,63.0,66.0,71.0,75.0,80.0,82.0,77.0,69.0,62.0,62.0,60.0,59.0,57.0,56.0,54.0,53.0,"","","","","","",""
394943,27,"Orlando, FL",Msa,FL,62.0,59.0,54.0,46.0,42.0,41.0,41.0,42.0,45.0,48.0,52.0,54.0,55.0,56.0,55.0,54.0,50.0,48.0,49.0,50.0,52.0,54.0,55.0,55.0,55.0,55.0,49.0,43.0,41.0,42.0,42.0,41.0,38.0,37.0,36.0,38.0,"","","","","","",""
394466,28,"Cincinnati, OH",Msa,OH,60.0,57.0,50.0,41.0,35.0,31.0,29.0,31.0,33.0,36.0,40.0,46.0,51.0,52.0,48.0,41.0,34.0,30.0,29.0,30.0,32.0,35.0,37.0,41.0,44.0,44.0,38.0,31.0,27.0,27.0,25.0,23.0,21.0,20.0,20.0,23.0,25.0,25.0,21.0,15.0,11.0,9.0,9.0
394475,29,"Cleveland, OH",Msa,OH,86.0,87.0,83.0,75.0,67.0,61.0,58.0,57.0,60.0,64.0,67.0,73.0,77.0,80.0,76.0,71.0,63.0,59.0,57.0,58.0,59.0,61.0,64.0,70.0,73.0,74.0,67.0,62.0,54.0,50.0,45.0,40.0,40.0,38.0,39.0,47.0,"","","","","","",""
