"RegionID","SizeRank","RegionName","RegionType","StateName","Date","MedianSalePrice"
394798,76,"Little Rock, AR","Msa","AR","3/31/2008",140000
395134,77,"Stockton, CA","Msa","CA","3/31/2008",303500
394457,78,"Charleston, SC","Msa","SC","3/31/2008",210000
395143,79,"Syracuse, NY","Msa","NY","3/31/2008",111900
394484,80,"Colorado Springs, CO","Msa","CO","3/31/2008",209300
395235,81,"Winston-Salem, NC","Msa","NC","3/31/2008",135000
395224,82,"Wichita, KS","Msa","KS","3/31/2008",115000
395115,83,"Springfield, MA","Msa","MA","3/31/2008",183000
394440,84,"Fort Myers, FL","Msa","FL","3/31/2008",220000
394399,85,"Boise City, ID","Msa","ID","3/31/2008",186625
395160,86,"Toledo, OH","Msa","OH","3/31/2008",111700
394816,87,"Madison, WI","Msa","WI","3/31/2008",205000
394766,88,"Lakeland, FL","Msa","FL","3/31/2008",172000
394931,89,"Ogden, UT","Msa","UT","3/31/2008",183000
394528,90,"Daytona Beach, FL","Msa","FL","3/31/2008",178000
394531,91,"Des Moines, IA","Msa","IA","3/31/2008",149500
394711,92,"Jackson, MS","Msa","MS","3/31/2008",135000
394352,94,"Augusta, GA","Msa","GA","3/31/2008",131000
394666,96,"Harrisburg, PA","Msa","PA","3/31/2008",154900
395006,100,"Provo, UT","Msa","UT","3/31/2008",220000
394602,159,"Fort Collins, CO","Msa","CO","3/31/2008",227500
394913,1,"New York, NY","Msa","NY","4/30/2008",NA
753899,2,"Los Angeles-Long Beach-Anaheim, CA","Msa","CA","4/30/2008",5e+05
394463,3,"Chicago, IL","Msa","IL","4/30/2008",251500
394514,4,"Dallas-Fort Worth, TX","Msa","TX","4/30/2008",152000
394974,5,"Philadelphia, PA","Msa","PA","4/30/2008",221000
394692,6,"Houston, TX","Msa","TX","4/30/2008",152000
395209,7,"Washington, DC","Msa","DC","4/30/2008",365000
394856,8,"Miami-Fort Lauderdale, FL","Msa","FL","4/30/2008",263900
394347,9,"Atlanta, GA","Msa","GA","4/30/2008",187000
394404,10,"Boston, MA","Msa","MA","4/30/2008",337500
395057,11,"San Francisco, CA","Msa","CA","4/30/2008",576000
394532,12,"Detroit, MI","Msa","MI","4/30/2008",138000
395025,13,"Riverside, CA","Msa","CA","4/30/2008",306250
394976,14,"Phoenix, AZ","Msa","AZ","4/30/2008",226000
395078,15,"Seattle, WA","Msa","WA","4/30/2008",350000
394865,16,"Minneapolis-St Paul, MN","Msa","MN","4/30/2008",222000
395056,17,"San Diego, CA","Msa","CA","4/30/2008",460000
395121,18,"St. Louis, MO","Msa","MO","4/30/2008",152000
395148,19,"Tampa, FL","Msa","FL","4/30/2008",175000
394358,20,"Baltimore, MD","Msa","MD","4/30/2008",260000
394530,21,"Denver, CO","Msa","CO","4/30/2008",239900
394982,22,"Pittsburgh, PA","Msa","PA","4/30/2008",119780
394998,23,"Portland, OR","Msa","OR","4/30/2008",267500
394458,24,"Charlotte, NC","Msa","NC","4/30/2008",169000
395045,25,"Sacramento, CA","Msa","CA","4/30/2008",315000
395055,26,"San Antonio, TX","Msa","TX","4/30/2008",151950
394943,27,"Orlando, FL","Msa","FL","4/30/2008",217000
394466,28,"Cincinnati, OH","Msa","OH","4/30/2008",148000
394475,29,"Cleveland, OH","Msa","OH","4/30/2008",132250
394735,30,"Kansas City, MO","Msa","MO","4/30/2008",153000
394775,31,"Las Vegas, NV","Msa","NV","4/30/2008",259755
394492,32,"Columbus, OH","Msa","OH","4/30/2008",154950
394705,33,"Indianapolis, IN","Msa","IN","4/30/2008",123000
395059,34,"San Jose, CA","Msa","CA","4/30/2008",689500
394355,35,"Austin, TX","Msa","TX","4/30/2008",191000
395194,36,"Virginia Beach, VA","Msa","VA","4/30/2008",225000
394902,37,"Nashville, TN","Msa","TN","4/30/2008",169900
395005,38,"Providence, RI","Msa","RI","4/30/2008",250000
394862,39,"Milwaukee, WI","Msa","WI","4/30/2008",185000
394714,40,"Jacksonville, FL","Msa","FL","4/30/2008",190000
394849,41,"Memphis, TN","Msa","TN","4/30/2008",146950
394935,42,"Oklahoma City, OK","Msa","OK","4/30/2008",125000
394807,43,"Louisville-Jefferson County, KY","Msa","KY","4/30/2008",137000
394669,44,"Hartford, CT","Msa","CT","4/30/2008",240000
395022,45,"Richmond, VA","Msa","VA","4/30/2008",219950
394910,46,"New Orleans, LA","Msa","LA","4/30/2008",163000
394425,47,"Buffalo, NY","Msa","NY","4/30/2008",113000
395012,48,"Raleigh, NC","Msa","NC","4/30/2008",190000
394388,49,"Birmingham, AL","Msa","AL","4/30/2008",157575
395053,50,"Salt Lake City, UT","Msa","UT","4/30/2008",229900
395031,51,"Rochester, NY","Msa","NY","4/30/2008",118900
394640,52,"Grand Rapids, MI","Msa","MI","4/30/2008",130500
395167,53,"Tucson, AZ","Msa","AZ","4/30/2008",205000
753924,54,"Urban Honolulu, HI","Msa","HI","4/30/2008",469200
395169,55,"Tulsa, OK","Msa","OK","4/30/2008",123000
394619,56,"Fresno, CA","Msa","CA","4/30/2008",260000
395238,57,"Worcester, MA","Msa","MA","4/30/2008",237000
394415,58,"Stamford, CT","Msa","CT","4/30/2008",425000
394312,59,"Albuquerque, NM","Msa","NM","4/30/2008",182500
394308,60,"Albany, NY","Msa","NY","4/30/2008",175050
394938,61,"Omaha, NE","Msa","NE","4/30/2008",135313
394908,62,"New Haven, CT","Msa","CT","4/30/2008",245000
394357,63,"Bakersfield, CA","Msa","CA","4/30/2008",225000
394753,64,"Knoxville, TN","Msa","TN","4/30/2008",138450
394653,65,"Greenville, SC","Msa","SC","4/30/2008",148900
394952,66,"Ventura, CA","Msa","CA","4/30/2008",486250
394318,67,"Allentown, PA","Msa","PA","4/30/2008",198000
394561,68,"El Paso, TX","Msa","TX","4/30/2008",129000
394367,69,"Baton Rouge, LA","Msa","LA","4/30/2008",169000
394521,70,"Dayton, OH","Msa","OH","4/30/2008",129300
394843,71,"McAllen, TX","Msa","TX","4/30/2008",NA
394486,72,"Columbia, SC","Msa","SC","4/30/2008",142888
394648,73,"Greensboro, NC","Msa","NC","4/30/2008",140000
394304,74,"Akron, OH","Msa","OH","4/30/2008",123000
753906,75,"North Port-Sarasota-Bradenton, FL","Msa","FL","4/30/2008",227650
394798,76,"Little Rock, AR","Msa","AR","4/30/2008",140000
395134,77,"Stockton, CA","Msa","CA","4/30/2008",278000
394457,78,"Charleston, SC","Msa","SC","4/30/2008",212000
395143,79,"Syracuse, NY","Msa","NY","4/30/2008",111000
394484,80,"Colorado Springs, CO","Msa","CO","4/30/2008",215000
395235,81,"Winston-Salem, NC","Msa","NC","4/30/2008",132500
395224,82,"Wichita, KS","Msa","KS","4/30/2008",119900
395115,83,"Springfield, MA","Msa","MA","4/30/2008",2e+05
394440,84,"Fort Myers, FL","Msa","FL","4/30/2008",197995
394399,85,"Boise City, ID","Msa","ID","4/30/2008",185250
395160,86,"Toledo, OH","Msa","OH","4/30/2008",130750
394816,87,"Madison, WI","Msa","WI","4/30/2008",199700
394766,88,"Lakeland, FL","Msa","FL","4/30/2008",160000
394931,89,"Ogden, UT","Msa","UT","4/30/2008",190000
394528,90,"Daytona Beach, FL","Msa","FL","4/30/2008",185000
394531,91,"Des Moines, IA","Msa","IA","4/30/2008",153500
394711,92,"Jackson, MS","Msa","MS","4/30/2008",132500
394352,94,"Augusta, GA","Msa","GA","4/30/2008",124900
394666,96,"Harrisburg, PA","Msa","PA","4/30/2008",162500
395006,100,"Provo, UT","Msa","UT","4/30/2008",219900
394602,159,"Fort Collins, CO","Msa","CO","4/30/2008",227750
394913,1,"New York, NY","Msa","NY","5/31/2008",NA
753899,2,"Los Angeles-Long Beach-Anaheim, CA","Msa","CA","5/31/2008",489250
394463,3,"Chicago, IL","Msa","IL","5/31/2008",254000
394514,4,"Dallas-Fort Worth, TX","Msa","TX","5/31/2008",155450
394974,5,"Philadelphia, PA","Msa","PA","5/31/2008",230000
394692,6,"Houston, TX","Msa","TX","5/31/2008",157845
395209,7,"Washington, DC","Msa","DC","5/31/2008",379900
394856,8,"Miami-Fort Lauderdale, FL","Msa","FL","5/31/2008",265000
394347,9,"Atlanta, GA","Msa","GA","5/31/2008",189500
394404,10,"Boston, MA","Msa","MA","5/31/2008",350000
395057,11,"San Francisco, CA","Msa","CA","5/31/2008",569250
394532,12,"Detroit, MI","Msa","MI","5/31/2008",132500
395025,13,"Riverside, CA","Msa","CA","5/31/2008",305000
394976,14,"Phoenix, AZ","Msa","AZ","5/31/2008",225000
395078,15,"Seattle, WA","Msa","WA","5/31/2008",350000
394865,16,"Minneapolis-St Paul, MN","Msa","MN","5/31/2008",220000
395056,17,"San Diego, CA","Msa","CA","5/31/2008",430000
395121,18,"St. Louis, MO","Msa","MO","5/31/2008",159950
395148,19,"Tampa, FL","Msa","FL","5/31/2008",178789
394358,20,"Baltimore, MD","Msa","MD","5/31/2008",258250
394530,21,"Denver, CO","Msa","CO","5/31/2008",238869
394982,22,"Pittsburgh, PA","Msa","PA","5/31/2008",125500
394998,23,"Portland, OR","Msa","OR","5/31/2008",277997
394458,24,"Charlotte, NC","Msa","NC","5/31/2008",176000
395045,25,"Sacramento, CA","Msa","CA","5/31/2008",312000
395055,26,"San Antonio, TX","Msa","TX","5/31/2008",154981
394943,27,"Orlando, FL","Msa","FL","5/31/2008",218000
394466,28,"Cincinnati, OH","Msa","OH","5/31/2008",147000
394475,29,"Cleveland, OH","Msa","OH","5/31/2008",132000
394735,30,"Kansas City, MO","Msa","MO","5/31/2008",163000
394775,31,"Las Vegas, NV","Msa","NV","5/31/2008",260000
394492,32,"Columbus, OH","Msa","OH","5/31/2008",157000
394705,33,"Indianapolis, IN","Msa","IN","5/31/2008",128000
395059,34,"San Jose, CA","Msa","CA","5/31/2008",696000
394355,35,"Austin, TX","Msa","TX","5/31/2008",198500
395194,36,"Virginia Beach, VA","Msa","VA","5/31/2008",226900
394902,37,"Nashville, TN","Msa","TN","5/31/2008",174500
395005,38,"Providence, RI","Msa","RI","5/31/2008",257500
394862,39,"Milwaukee, WI","Msa","WI","5/31/2008",187950
394714,40,"Jacksonville, FL","Msa","FL","5/31/2008",195000
394849,41,"Memphis, TN","Msa","TN","5/31/2008",147750
394935,42,"Oklahoma City, OK","Msa","OK","5/31/2008",125000
394807,43,"Louisville-Jefferson County, KY","Msa","KY","5/31/2008",143500
394669,44,"Hartford, CT","Msa","CT","5/31/2008",237000
395022,45,"Richmond, VA","Msa","VA","5/31/2008",225000
394910,46,"New Orleans, LA","Msa","LA","5/31/2008",170000
394425,47,"Buffalo, NY","Msa","NY","5/31/2008",120000
395012,48,"Raleigh, NC","Msa","NC","5/31/2008",210500
394388,49,"Birmingham, AL","Msa","AL","5/31/2008",160000
395053,50,"Salt Lake City, UT","Msa","UT","5/31/2008",233100
395031,51,"Rochester, NY","Msa","NY","5/31/2008",122000
394640,52,"Grand Rapids, MI","Msa","MI","5/31/2008",134000
395167,53,"Tucson, AZ","Msa","AZ","5/31/2008",210000
753924,54,"Urban Honolulu, HI","Msa","HI","5/31/2008",409000
395169,55,"Tulsa, OK","Msa","OK","5/31/2008",130000
394619,56,"Fresno, CA","Msa","CA","5/31/2008",241500
395238,57,"Worcester, MA","Msa","MA","5/31/2008",235000
394415,58,"Stamford, CT","Msa","CT","5/31/2008",448000
394312,59,"Albuquerque, NM","Msa","NM","5/31/2008",199888
394308,60,"Albany, NY","Msa","NY","5/31/2008",176000
394938,61,"Omaha, NE","Msa","NE","5/31/2008",142000
394908,62,"New Haven, CT","Msa","CT","5/31/2008",245000
394357,63,"Bakersfield, CA","Msa","CA","5/31/2008",230000
394753,64,"Knoxville, TN","Msa","TN","5/31/2008",149900
394653,65,"Greenville, SC","Msa","SC","5/31/2008",148800
394952,66,"Ventura, CA","Msa","CA","5/31/2008",489000
394318,67,"Allentown, PA","Msa","PA","5/31/2008",192000
394561,68,"El Paso, TX","Msa","TX","5/31/2008",135500
394367,69,"Baton Rouge, LA","Msa","LA","5/31/2008",173000
394521,70,"Dayton, OH","Msa","OH","5/31/2008",126000
394843,71,"McAllen, TX","Msa","TX","5/31/2008",NA
394486,72,"Columbia, SC","Msa","SC","5/31/2008",149000
394648,73,"Greensboro, NC","Msa","NC","5/31/2008",140000
394304,74,"Akron, OH","Msa","OH","5/31/2008",123800
753906,75,"North Port-Sarasota-Bradenton, FL","Msa","FL","5/31/2008",230000
394798,76,"Little Rock, AR","Msa","AR","5/31/2008",145000
395134,77,"Stockton, CA","Msa","CA","5/31/2008",270000
394457,78,"Charleston, SC","Msa","SC","5/31/2008",205000
395143,79,"Syracuse, NY","Msa","NY","5/31/2008",120000
394484,80,"Colorado Springs, CO","Msa","CO","5/31/2008",218000
395235,81,"Winston-Salem, NC","Msa","NC","5/31/2008",144250
395224,82,"Wichita, KS","Msa","KS","5/31/2008",125680
395115,83,"Springfield, MA","Msa","MA","5/31/2008",204500
394440,84,"Fort Myers, FL","Msa","FL","5/31/2008",207000
394399,85,"Boise City, ID","Msa","ID","5/31/2008",185000
395160,86,"Toledo, OH","Msa","OH","5/31/2008",125000
394816,87,"Madison, WI","Msa","WI","5/31/2008",204500
394766,88,"Lakeland, FL","Msa","FL","5/31/2008",168900
394931,89,"Ogden, UT","Msa","UT","5/31/2008",187000
394528,90,"Daytona Beach, FL","Msa","FL","5/31/2008",180000
394531,91,"Des Moines, IA","Msa","IA","5/31/2008",154500
394711,92,"Jackson, MS","Msa","MS","5/31/2008",138000
394352,94,"Augusta, GA","Msa","GA","5/31/2008",135000
394666,96,"Harrisburg, PA","Msa","PA","5/31/2008",160000
395006,100,"Provo, UT","Msa","UT","5/31/2008",217000
394602,159,"Fort Collins, CO","Msa","CO","5/31/2008",224900
394913,1,"New York, NY","Msa","NY","6/30/2008",NA
753899,2,"Los Angeles-Long Beach-Anaheim, CA","Msa","CA","6/30/2008",485000
394463,3,"Chicago, IL","Msa","IL","6/30/2008",260000
394514,4,"Dallas-Fort Worth, TX","Msa","TX","6/30/2008",160000
394974,5,"Philadelphia, PA","Msa","PA","6/30/2008",237000
394692,6,"Houston, TX","Msa","TX","6/30/2008",161500
395209,7,"Washington, DC","Msa","DC","6/30/2008",380000
394856,8,"Miami-Fort Lauderdale, FL","Msa","FL","6/30/2008",265316
394347,9,"Atlanta, GA","Msa","GA","6/30/2008",195900
394404,10,"Boston, MA","Msa","MA","6/30/2008",365000
395057,11,"San Francisco, CA","Msa","CA","6/30/2008",539000
394532,12,"Detroit, MI","Msa","MI","6/30/2008",139000
395025,13,"Riverside, CA","Msa","CA","6/30/2008",299000
394976,14,"Phoenix, AZ","Msa","AZ","6/30/2008",225000
395078,15,"Seattle, WA","Msa","WA","6/30/2008",350000
394865,16,"Minneapolis-St Paul, MN","Msa","MN","6/30/2008",218900
395056,17,"San Diego, CA","Msa","CA","6/30/2008",437000
395121,18,"St. Louis, MO","Msa","MO","6/30/2008",165000
395148,19,"Tampa, FL","Msa","FL","6/30/2008",180000
394358,20,"Baltimore, MD","Msa","MD","6/30/2008",273000
394530,21,"Denver, CO","Msa","CO","6/30/2008",248000
394982,22,"Pittsburgh, PA","Msa","PA","6/30/2008",130000
394998,23,"Portland, OR","Msa","OR","6/30/2008",284950
394458,24,"Charlotte, NC","Msa","NC","6/30/2008",182000
395045,25,"Sacramento, CA","Msa","CA","6/30/2008",3e+05
395055,26,"San Antonio, TX","Msa","TX","6/30/2008",161000
394943,27,"Orlando, FL","Msa","FL","6/30/2008",220000
394466,28,"Cincinnati, OH","Msa","OH","6/30/2008",153000
394475,29,"Cleveland, OH","Msa","OH","6/30/2008",135000
394735,30,"Kansas City, MO","Msa","MO","6/30/2008",164650
394775,31,"Las Vegas, NV","Msa","NV","6/30/2008",255000
394492,32,"Columbus, OH","Msa","OH","6/30/2008",155750
394705,33,"Indianapolis, IN","Msa","IN","6/30/2008",132000
395059,34,"San Jose, CA","Msa","CA","6/30/2008",690000
394355,35,"Austin, TX","Msa","TX","6/30/2008",197490
395194,36,"Virginia Beach, VA","Msa","VA","6/30/2008",235900
394902,37,"Nashville, TN","Msa","TN","6/30/2008",179900
395005,38,"Providence, RI","Msa","RI","6/30/2008",257000
394862,39,"Milwaukee, WI","Msa","WI","6/30/2008",194000
394714,40,"Jacksonville, FL","Msa","FL","6/30/2008",199950
394849,41,"Memphis, TN","Msa","TN","6/30/2008",150000
394935,42,"Oklahoma City, OK","Msa","OK","6/30/2008",129739
394807,43,"Louisville-Jefferson County, KY","Msa","KY","6/30/2008",147000
394669,44,"Hartford, CT","Msa","CT","6/30/2008",245000
395022,45,"Richmond, VA","Msa","VA","6/30/2008",233000
