Cost of Living Index,mortgage_rate,date,nielsen_rank,hotness_rank,hotness_rank_yy,supply_score,demand_score,median_days_on_market_yy,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price_yy,city_name,state_abb,city_state,tax_rank,Effective_Total_Tax_Med_US_Household,Annual_Total_Tax_Med_US_Household,Per_Diff_State_US_Avg,Annual_Total_Tax_State_Household,Adjusted_Overall_Rank
106.1,2.18,2021-07-01,257,656,88,82.37159163,26.88649334,-0.333333333,0.85,0.7255,0.108165423,greeley,co,greeley_co,9,8.54%,"$5,396 ",-20.98%,"$6,611 ",13
105.4,2.18,2021-07-01,1345,1131,-1051,20.54533925,49.71464807,0.113636364,-0.215384615,1,0.206460401,minneapolis,mn,minneapolis_mn,29,11.27%,"$7,128 ",4.39%,"$7,774 ",29
116.5,2.18,2021-07-01,168,1067,-116,62.84083703,14.83830057,-0.298969072,0.705882353,0.5686,0.221719457,portland,or,portland_or,13,8.99%,"$5,686 ",-16.73%,"$6,598 ",24
104.3,2.18,2021-07-01,193,1074,-688,50.15852885,26.94990488,-0.244897959,-0.051282051,0.7255,-0.117647059,trenton,nj,trenton_nj,42,12.84%,"$8,117 ",18.88%,"$11,906 ",48
90.8,2.18,2021-07-01,468,295,-6,74.69879518,67.9137603,-0.361702128,0.441860465,1.2157,0.034920635,altoona,pa,altoona_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
87.2,2.18,2021-07-01,861,99,-34,92.26379201,79.83512999,-0.397260274,0.351851852,1.4314,0.020608811,evansville,in,evansville_in,34,11.75%,"$7,430 ",8.81%,"$6,239 ",28
88.4,2.18,2021-07-01,114,324,-214,87.31769182,51.99746354,-0.390243902,0.019607843,1.0196,0.179672131,dayton,oh,dayton_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
,2.18,2021-07-01,1101,225,-68,74.69879518,77.99619531,-0.375,0.245614035,1.3922,0.265667862,mcminnville,tn,mcminnville_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
,2.18,2021-07-01,1012,1482,57,2.7901078,17.81864299,-0.390728477,1.133333333,0.6275,0.032,greenville,ms,greenville_ms,36,11.97%,"$7,569 ",10.86%,"$5,381 ",21
88.6,2.18,2021-07-01,88,1384,-110,31.83259353,6.911857958,-0.362962963,0.3125,0.4118,0.146144994,el paso,tx,el paso_tx,40,12.79%,"$8,083 ",18.37%,"$7,212 ",34
173.5,2.18,2021-07-01,19,968,-291,82.37159163,4.819277108,-0.151515152,-0.052631579,0.3529,0.023715415,san jose,ca,san jose_ca,11,8.96%,"$5,662 ",-17.08%,"$8,588 ",32
91.8,2.18,2021-07-01,807,1089,-241,42.23208624,33.10082435,-0.327586207,0.366666667,0.8039,0.09247583,eau claire,wi,eau claire_wi,45,13.22%,"$8,357 ",22.39%,"$7,586 ",37
100.1,2.18,2021-07-01,592,739,-326,41.15409004,62.07989854,-0.292035398,0.208333333,1.1373,-0.124023624,chicago,il,chicago_il,51,15.01%,"$9,488 ",38.95%,"$9,200 ",47
120.3,2.18,2021-07-01,181,308,-125,85.22511097,55.92897907,-0.372093023,0.14893617,1.0588,0.147776184,sacramento,ca,sacramento_ca,11,8.96%,"$5,662 ",-17.08%,"$8,588 ",32
93.2,2.18,2021-07-01,291,878,12,39.3785669,53.96322131,-0.388059701,0.558823529,1.0392,-0.092827004,duluth,mn,duluth_mn,29,11.27%,"$7,128 ",4.39%,"$7,774 ",29
120.3,2.18,2021-07-01,336,246,155,86.30310717,63.66518706,-0.518518519,0.311111111,1.1569,0.108064435,sacramento,ca,sacramento_ca,11,8.96%,"$5,662 ",-17.08%,"$8,588 ",32
,2.18,2021-07-01,1095,1444,56,16.7406468,11.22384274,-0.504854369,1,0.5098,0.314285714,west plains,mo,west plains_mo,28,11.25%,"$7,111 ",4.14%,"$6,023 ",16
,2.18,2021-07-01,1003,935,-352,35.1934052,54.66074826,-0.348837209,0.125,1.0588,0.172735116,sidney,oh,sidney_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
87.3,2.18,2021-07-01,824,501,-20,28.66201649,92.89790742,-0.323076923,0.754716981,1.8235,0.003474903,morristown,tn,morristown_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
100.3,2.18,2021-07-01,476,558,-33,70.7038681,45.78313253,-0.360824742,0.454545455,0.9412,0.178635227,atlanta,ga,atlanta_ga,21,10.57%,"$6,683 ",-2.13%,"$5,989 ",15
89.2,2.18,2021-07-01,554,1301,-124,31.83259353,20.41851617,-0.322834646,0.736842105,0.6471,0.140922768,valdosta,ga,valdosta_ga,21,10.57%,"$6,683 ",-2.13%,"$5,989 ",15
,2.18,2021-07-01,1377,1401,-20,4.819277108,30.62777425,-0.380753138,0.538461538,0.7843,0.270957274,bainbridge,ga,bainbridge_ga,21,10.57%,"$6,683 ",-2.13%,"$5,989 ",15
93.1,2.18,2021-07-01,332,845,-397,35.1934052,60.74825618,-0.168316832,0.5,1.1176,0.001287738,pittsburgh,pa,pittsburgh_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
149.6,2.18,2021-07-01,477,1400,-540,18.4527584,17.18452758,-0.212598425,-0.060606061,0.6078,0.104948805,napa,ca,napa_ca,11,8.96%,"$5,662 ",-17.08%,"$8,588 ",32
,2.18,2021-07-01,1077,1186,126,13.82371592,50.15852885,-0.403314917,1.04,1,-0.096626644,muscatine,ia,muscatine_ia,44,13.18%,"$8,334 ",22.05%,"$7,053 ",35
,2.18,2021-07-01,1142,1140,332,58.14838301,11.1604312,-0.617486339,1.166666667,0.5098,-0.072715143,fort dodge,ia,fort dodge_ia,44,13.18%,"$8,334 ",22.05%,"$7,053 ",35
91.1,2.18,2021-07-01,648,432,355,45.97336715,80.84971465,-0.428571429,0.947368421,1.451,0.135984848,great falls,mt,great falls_mt,3,7.11%,"$4,494 ",-34.19%,"$4,301 ",2
116.5,2.18,2021-07-01,152,1079,-46,66.70894103,9.575142676,-0.36,0.714285714,0.4706,0.143246073,portland,or,portland_or,13,8.99%,"$5,686 ",-16.73%,"$6,598 ",24
92.4,2.18,2021-07-01,151,896,-337,45.97336715,46.22701332,-0.355932203,0.142857143,0.9412,0.09878452,new orleans,la,new orleans_la,23,10.63%,"$6,723 ",-1.54%,"$5,239 ",19
,2.18,2021-07-01,1335,767,190,35.1934052,65.94800254,-0.436241611,0.694444444,1.1961,0.192914809,spearfish,sd,spearfish_sd,27,11.16%,"$7,055 ",3.33%,"$6,095 ",27
105.4,2.18,2021-07-01,945,1092,-949,35.1934052,40.01268231,0.076923077,-0.02173913,0.8824,0.124550711,minneapolis,mn,minneapolis_mn,29,11.27%,"$7,128 ",4.39%,"$7,774 ",29
100.9,2.18,2021-07-01,880,1179,-852,15.02853519,49.77805961,0.238095238,0.416666667,1,0.209677419,walla walla,wa,walla walla_wa,37,12.02%,"$7,601 ",11.33%,"$9,732 ",39
91.1,2.18,2021-07-01,1184,751,-151,35.1934052,67.15282181,-0.404255319,0.192307692,1.2157,-0.054620607,lexington,ky,lexington_ky,39,12.48%,"$7,887 ",15.51%,"$6,115 ",30
,2.18,2021-07-01,1260,1392,-31,7.863031072,28.85225111,-0.36,0.625,0.7647,0.192902982,jackson,oh,jackson_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
112.8,2.18,2021-07-01,958,338,550,62.84083703,74.69879518,-0.534246575,0.789473684,1.3333,0.159363333,burlington,vt,burlington_vt,33,11.62%,"$7,347 ",7.60%,"$7,498 ",41
100.4,2.18,2021-07-01,1019,373,452,78.31325301,54.97780596,-0.553846154,0.5,1.0588,0.232062618,spokane,wa,spokane_wa,37,12.02%,"$7,601 ",11.33%,"$9,732 ",39
98.9,2.18,2021-07-01,224,163,-137,93.97590361,67.97717185,-0.25,0.016393443,1.2157,-0.022373685,allentown,pa,allentown_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
89.6,2.18,2021-07-01,977,1532,5,2.029169309,7.165504122,0.053003534,0.466666667,0.4314,-0.074074074,st. louis,mo,st. louis_mo,28,11.25%,"$7,111 ",4.14%,"$6,023 ",16
