city,state,month,year,supply_score,demand_score,median_listing_price_yy,median_days_on_market_yy,unique_viewers_per_property_yy,mortgage_rate,date,date_month_num,hotness_rank_yy,hotness_rank,class,city_state,latitude,longitude
escanaba,mi,July,2021,53.96322131,50.03170577,0.446344125,-0.485714286,0.7,2.18,2021-07-01,7,318,723,2,"escanaba, mi",45.76587,-87.088985
buffalo,ny,July,2021,74.69879518,50.79264426,-0.0562476409999999,-0.2,0.186046512,2.18,2021-07-01,7,-286,445,3,"buffalo, ny",42.896659,-78.884575
philadelphia,pa,July,2021,62.84083703,68.16740647,0.125784802,-0.235955056,-0.126760563,2.18,2021-07-01,7,-320,386,0,"philadelphia, pa",39.864998,-75.275196
blacksburg,va,July,2021,39.3785669,63.53836398,0.112289741,-0.171717172,0.1132075469999999,2.18,2021-07-01,7,-522,744,2,"blacksburg, va",37.228804,-80.427313
claremont,nh,July,2021,9.955611921,62.27013316,0.0,-0.536,0.933333333,2.18,2021-07-01,7,192,1119,2,"claremont, nh",43.367942,-72.342186
sioux falls,sd,July,2021,31.83259353,2.980342422,0.031578947,-0.180952381,0.153846154,2.18,2021-07-01,7,-297,1406,1,"sioux falls, sd",43.488,-96.7343
baton rouge,la,July,2021,31.83259353,20.48192771,0.140486459,-0.317460317,0.941176471,2.18,2021-07-01,7,-97,1300,1,"baton rouge, la",30.450731,-91.186954
farmington,mo,July,2021,50.15852885,53.07545973,-0.070619006,-0.403225806,0.292682927,2.18,2021-07-01,7,-87,740,2,"farmington, mo",37.777299,-90.409377
sanford,nc,July,2021,78.31325301,94.99048827,0.197222743,-0.486725664,0.612903226,2.18,2021-07-01,7,184,90,0,"sanford, nc",35.464148,-79.176446
jackson,mi,July,2021,70.7038681,28.66201649,-0.050409079,-0.303370787,0.1875,2.18,2021-07-01,7,-337,802,3,"jackson, mi",42.254522,-84.387476
enid,ok,July,2021,31.83259353,12.49207356,-0.05913504,-0.3986013989999999,0.6875,2.18,2021-07-01,7,-19,1348,1,"enid, ok",36.402842,-97.862257
hanford,ca,July,2021,78.31325301,91.81991122,0.122947761,-0.340909091,0.1558441559999999,2.18,2021-07-01,7,-59,112,0,"hanford, ca",36.331419,-119.649094
ocala,fl,July,2021,1.204819277,3.677869372,0.080478763,2.425742574,0.333333333,2.18,2021-07-01,7,-1,1548,1,"ocala, fl",29.1981,-82.0974
shreveport,la,July,2021,7.419150285,35.95434369,-0.214424306,-0.133333333,1.047619048,2.18,2021-07-01,7,-62,1357,1,"shreveport, la",32.503743,-93.748696
searcy,ar,July,2021,78.31325301,47.17818643,0.109228972,-0.536,0.689655172,2.18,2021-07-01,7,513,446,3,"searcy, ar",35.253512,-91.762931
grand forks,nd,July,2021,31.83259353,8.750792644,-0.0156956639999999,0.563636364,1.0,2.18,2021-07-01,7,-588,1370,1,"grand forks, nd",47.901041,-97.04463
lima,oh,July,2021,91.05897273,17.24793912,-0.56,-0.5490196079999999,-0.184210526,2.18,2021-07-01,7,-197,665,3,"lima, oh",40.764066,-84.097296
yuba city,ca,July,2021,78.31325301,63.47495244,0.007549118,-0.585714286,-0.078125,2.18,2021-07-01,7,169,303,0,"yuba city, ca",39.128619,-121.621599
sterling,il,July,2021,4.185161699,16.99429296,0.185146983,-0.281105991,0.409090909,2.18,2021-07-01,7,-61,1478,1,"sterling, il",41.805511,-89.70539
red wing,mn,July,2021,18.4527584,52.82181357,0.035836605,-0.32885906,0.432432432,2.18,2021-07-01,7,-197,1125,2,"red wing, mn",44.552779,-92.548559
flint,mi,July,2021,66.70894103,35.70069753,0.0025647,-0.288888889,-0.045454545,2.18,2021-07-01,7,-502,750,3,"flint, mi",43.0233,-83.6856
indianapolis,in,July,2021,45.97336715,14.20418516,-0.033614122,-0.276190476,0.037037037,2.18,2021-07-01,7,-412,1224,1,"indianapolis, in",39.938417,-86.13894
springfield,mo,July,2021,50.15852885,76.85478757,0.083694565,-0.463768116,0.5555555560000001,2.18,2021-07-01,7,272,429,2,"springfield, mo",37.2152,-93.295
phoenix,az,July,2021,78.31325301,12.11160431,0.149959345,-0.425742574,0.130434783,2.18,2021-07-01,7,-66,928,3,"phoenix, az",33.451,-112.0685
mountain home,ar,July,2021,50.15852885,61.76284084,0.045475216,-0.640776699,0.933333333,2.18,2021-07-01,7,632,619,2,"mountain home, ar",36.331153,-92.375337
